[2026-04-22 17:05:22,151] INFO greenlens.ml_engine: PCRSPredictor loaded model version v1.0.0
[2026-04-22 17:05:23,030] DEBUG greenlens.worldbank_climate: WB CKP API pr/AND returned 404
[2026-04-22 17:05:23,030] DEBUG greenlens.worldbank_climate: WB flood fallback AND \u2192 0.400
[2026-04-22 17:05:23,096] DEBUG greenlens.worldbank_climate: WB CKP API tas/AND returned 404
[2026-04-22 17:05:23,096] DEBUG greenlens.worldbank_climate: WB heat fallback AND \u2192 0.450
[2026-04-22 17:05:23,124] INFO greenlens.ml_engine: Predicted bond AND_Sustainabili_2021: score=31.8 [Medium-Low]
[2026-04-22 17:05:23,737] DEBUG greenlens.worldbank_climate: WB CKP API pr/AND returned 404
[2026-04-22 17:05:23,738] DEBUG greenlens.worldbank_climate: WB flood fallback AND \u2192 0.400
[2026-04-22 17:05:23,843] DEBUG greenlens.worldbank_climate: WB CKP API tas/AND returned 404
[2026-04-22 17:05:23,843] DEBUG greenlens.worldbank_climate: WB heat fallback AND \u2192 0.450
[2026-04-22 17:05:23,857] INFO greenlens.ml_engine: Predicted bond AND_Sustainabili_2022: score=31.8 [Medium-Low]
[2026-04-22 17:05:24,560] DEBUG greenlens.worldbank_climate: WB CKP API pr/ARG returned 404
[2026-04-22 17:05:24,561] DEBUG greenlens.worldbank_climate: WB flood fallback ARG \u2192 0.520
[2026-04-22 17:05:24,660] DEBUG greenlens.worldbank_climate: WB CKP API tas/ARG returned 404
[2026-04-22 17:05:24,661] DEBUG greenlens.worldbank_climate: WB heat fallback ARG \u2192 0.500
[2026-04-22 17:05:24,686] INFO greenlens.ml_engine: Predicted bond ARG_Green_Bonds_2017: score=38.6 [Medium-Low]
[2026-04-22 17:05:25,479] DEBUG greenlens.worldbank_climate: WB CKP API pr/ARG returned 404
[2026-04-22 17:05:25,479] DEBUG greenlens.worldbank_climate: WB flood fallback ARG \u2192 0.520
[2026-04-22 17:05:25,581] DEBUG greenlens.worldbank_climate: WB CKP API tas/ARG returned 404
[2026-04-22 17:05:25,581] DEBUG greenlens.worldbank_climate: WB heat fallback ARG \u2192 0.500
[2026-04-22 17:05:25,600] INFO greenlens.ml_engine: Predicted bond ARG_Green_Bonds_2020: score=38.6 [Medium-Low]
[2026-04-22 17:05:26,351] DEBUG greenlens.worldbank_climate: WB CKP API pr/ARG returned 404
[2026-04-22 17:05:26,352] DEBUG greenlens.worldbank_climate: WB flood fallback ARG \u2192 0.520
[2026-04-22 17:05:26,504] DEBUG greenlens.worldbank_climate: WB CKP API tas/ARG returned 404
[2026-04-22 17:05:26,504] DEBUG greenlens.worldbank_climate: WB heat fallback ARG \u2192 0.500
[2026-04-22 17:05:26,529] INFO greenlens.ml_engine: Predicted bond ARG_Green_Bonds_2021: score=38.6 [Medium-Low]
[2026-04-22 17:05:27,227] DEBUG greenlens.worldbank_climate: WB CKP API pr/ARG returned 404
[2026-04-22 17:05:27,227] DEBUG greenlens.worldbank_climate: WB flood fallback ARG \u2192 0.520
[2026-04-22 17:05:27,322] DEBUG greenlens.worldbank_climate: WB CKP API tas/ARG returned 404
[2026-04-22 17:05:27,322] DEBUG greenlens.worldbank_climate: WB heat fallback ARG \u2192 0.500
[2026-04-22 17:05:27,351] INFO greenlens.ml_engine: Predicted bond ARG_Green_Bonds_2022: score=38.6 [Medium-Low]
[2026-04-22 17:05:28,039] DEBUG greenlens.worldbank_climate: WB CKP API pr/ARG returned 404
[2026-04-22 17:05:28,039] DEBUG greenlens.worldbank_climate: WB flood fallback ARG \u2192 0.520
[2026-04-22 17:05:28,142] DEBUG greenlens.worldbank_climate: WB CKP API tas/ARG returned 404
[2026-04-22 17:05:28,142] DEBUG greenlens.worldbank_climate: WB heat fallback ARG \u2192 0.500
[2026-04-22 17:05:28,167] INFO greenlens.ml_engine: Predicted bond ARG_Green_Bonds_2023: score=38.6 [Medium-Low]
[2026-04-22 17:05:28,859] DEBUG greenlens.worldbank_climate: WB CKP API pr/ARG returned 404
[2026-04-22 17:05:28,859] DEBUG greenlens.worldbank_climate: WB flood fallback ARG \u2192 0.520
[2026-04-22 17:05:28,932] DEBUG greenlens.worldbank_climate: WB CKP API tas/ARG returned 404
[2026-04-22 17:05:28,932] DEBUG greenlens.worldbank_climate: WB heat fallback ARG \u2192 0.500
[2026-04-22 17:05:28,959] INFO greenlens.ml_engine: Predicted bond ARG_Green_Bonds_2024: score=38.6 [Medium-Low]
[2026-04-22 17:05:29,476] DEBUG greenlens.worldbank_climate: WB CKP API pr/ARG returned 404
[2026-04-22 17:05:29,476] DEBUG greenlens.worldbank_climate: WB flood fallback ARG \u2192 0.520
[2026-04-22 17:05:29,575] DEBUG greenlens.worldbank_climate: WB CKP API tas/ARG returned 404
[2026-04-22 17:05:29,575] DEBUG greenlens.worldbank_climate: WB heat fallback ARG \u2192 0.500
[2026-04-22 17:05:29,590] INFO greenlens.ml_engine: Predicted bond ARG_Social_Bond_2017: score=38.6 [Medium-Low]
[2026-04-22 17:05:30,165] DEBUG greenlens.worldbank_climate: WB CKP API pr/ARG returned 404
[2026-04-22 17:05:30,165] DEBUG greenlens.worldbank_climate: WB flood fallback ARG \u2192 0.520
[2026-04-22 17:05:30,293] DEBUG greenlens.worldbank_climate: WB CKP API tas/ARG returned 404
[2026-04-22 17:05:30,293] DEBUG greenlens.worldbank_climate: WB heat fallback ARG \u2192 0.500
[2026-04-22 17:05:30,314] INFO greenlens.ml_engine: Predicted bond ARG_Social_Bond_2021: score=38.6 [Medium-Low]
[2026-04-22 17:05:30,871] DEBUG greenlens.worldbank_climate: WB CKP API pr/ARG returned 404
